table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
".Escambia County, Florida","323,860","326,928",0.95
".Flagler County, Florida","126,758","131,439",3.69
".Franklin County, Florida","12,492","12,594",0.82
".Gadsden County, Florida","43,393","43,833",1.01
".Gilchrist County, Florida","19,002","19,587",3.08
".Glades County, Florida","12,463","12,786",2.59
".Gulf County, Florida","15,299","15,693",2.58
".Hamilton County, Florida","13,194","13,471",2.10
".Hardee County, Florida","25,651","25,760",0.42
".Hendry County, Florida","41,391","43,333",4.69
".Hernando County, Florida","206,935","212,807",2.84
".Highlands County, Florida","105,649","107,614",1.86
".Hillsborough County, Florida","1,513,473","1,535,564",1.46
".Holmes County, Florida","19,653","19,944",1.48
".Indian River County, Florida","167,267","169,795",1.51
".Jackson County, Florida","48,255","48,622",0.76
".Jefferson County, Florida","15,069","15,450",2.53
".Lafayette County, Florida","7,777","8,078",3.87
".Lake County, Florida","410,090","424,462",3.50
".Lee County, Florida","822,391","834,573",1.48
".Leon County, Florida","297,282","296,913",-0.12
".Levy County, Florida","45,253","46,545",2.86
".Liberty County, Florida","7,613","7,706",1.22
".Madison County, Florida","18,230","18,519",1.59
".Manatee County, Florida","429,169","441,095",2.78
".Marion County, Florida","396,437","409,959",3.41
".Martin County, Florida","161,987","163,315",0.82
".Miami-Dade County, Florida","2,673,056","2,686,867",0.52
".Monroe County, Florida","81,618","80,614",-1.23
".Nassau County, Florida","97,826","101,501",3.76
".Okaloosa County, Florida","216,464","218,464",0.92
".Okeechobee County, Florida","40,373","41,427",2.61
".Orange County, Florida","1,451,761","1,471,416",1.35
".Osceola County, Florida","422,543","437,784",3.61
".Palm Beach County, Florida","1,519,867","1,533,801",0.92
".Pasco County, Florida","609,141","632,996",3.92
".Pinellas County, Florida","961,792","961,596",-0.02
".Polk County, Florida","788,382","818,330",3.80
".Putnam County, Florida","74,736","75,955",1.63
".St. Johns County, Florida","307,072","320,110",4.25
".St. Lucie County, Florida","358,886","373,586",4.10
".Santa Rosa County, Florida","198,199","203,162",2.50
".Sarasota County, Florida","462,552","469,013",1.40
".Seminole County, Florida","478,623","484,271",1.18
".Sumter County, Florida","144,767","151,565",4.70
".Suwannee County, Florida","45,405","46,130",1.60
".Taylor County, Florida","21,313","21,582",1.26
".Union County, Florida","15,514","15,532",0.12
".Volusia County, Florida","579,665","590,357",1.84
".Wakulla County, Florida","35,169","36,449",3.64
".Walton County, Florida","83,404","86,354",3.54
".Washington County, Florida","25,405","25,602",0.78
".Appling County, Georgia","18,437","18,457",0.11
".Atkinson County, Georgia","8,160","8,293",1.63
".Bacon County, Georgia","11,173","11,124",-0.44
".Baker County, Georgia","2,792","2,743",-1.76
".Baldwin County, Georgia","43,633","43,396",-0.54
".Banks County, Georgia","19,342","19,789",2.31
".Barrow County, Georgia","89,245","92,792",3.97
".Bartow County, Georgia","112,815","115,041",1.97
".Ben Hill County, Georgia","17,057","17,128",0.42
".Berrien County, Georgia","18,215","18,570",1.95
".Bibb County, Georgia","156,126","156,512",0.25
".Bleckley County, Georgia","12,279","12,465",1.51
".Brantley County, Georgia","18,210","18,401",1.05
".Brooks County, Georgia","16,284","16,245",-0.24
".Bryan County, Georgia","48,218","49,739",3.15
".Bulloch County, Georgia","83,038","84,327",1.55
".Burke County, Georgia","24,434","24,438",0.02
".Butts County, Georgia","26,745","26,887",0.53
".Calhoun County, Georgia","5,474","5,457",-0.31
".Camden County, Georgia","56,971","58,118",2.01
".Candler County, Georgia","10,962","11,059",0.88
".Carroll County, Georgia","124,530","127,098",2.06
".Catoosa County, Georgia","68,836","68,910",0.11
".Charlton County, Georgia","12,788","12,934",1.14
".Chatham County, Georgia","301,025","303,655",0.87
".Chattahoochee County, Georgia","8,746","8,661",-0.97
".Chattooga County, Georgia","24,962","25,222",1.04
".Cherokee County, Georgia","281,194","286,602",1.92
".Clarke County, Georgia","129,726","129,933",0.16
".Clay County, Georgia","2,853","2,853",0.00
".Clayton County, Georgia","298,399","298,300",-0.03
".Clinch County, Georgia","6,679","6,746",1.00
".Cobb County, Georgia","771,840","776,743",0.64
".Coffee County, Georgia","43,247","43,317",0.16
".Colquitt County, Georgia","45,830","46,167",0.74
".Columbia County, Georgia","162,471","165,162",1.66
".Cook County, Georgia","17,409","17,714",1.75
".Coweta County, Georgia","152,879","155,892",1.97
".Crawford County, Georgia","12,169","12,277",0.89
".Crisp County, Georgia","19,729","19,631",-0.50
".Dade County, Georgia","16,090","16,165",0.47
".Dawson County, Georgia","30,189","31,732",5.11
".Decatur County, Georgia","29,019","29,087",0.23
".DeKalb County, Georgia","761,779","762,992",0.16
".Dodge County, Georgia","19,873","19,776",-0.49
".Dooly County, Georgia","10,585","10,981",3.74
".Dougherty County, Georgia","82,895","82,645",-0.30
".Douglas County, Georgia","147,453","149,160",1.16
".Early County, Georgia","10,560","10,563",0.03
".Echols County, Georgia","3,686","3,709",0.62
".Effingham County, Georgia","69,034","71,541",3.63
".Elbert County, Georgia","19,873","20,013",0.70
".Emanuel County, Georgia","22,946","23,119",0.75
".Evans County, Georgia","10,659","10,754",0.89
".Fannin County, Georgia","25,733","25,955",0.86
".Fayette County, Georgia","121,981","123,351",1.12
".Floyd County, Georgia","99,437","100,113",0.68
".Forsyth County, Georgia","267,312","272,887",2.09
".Franklin County, Georgia","24,146","24,782",2.63
".Fulton County, Georgia","1,073,698","1,079,105",0.50
".Gilmer County, Georgia","32,403","32,860",1.41
".Glascock County, Georgia","2,928","2,954",0.89
".Glynn County, Georgia","85,145","86,172",1.21
".Gordon County, Georgia","58,855","59,757",1.53
".Grady County, Georgia","25,994","26,066",0.28
".Greene County, Georgia","20,111","20,722",3.04
".Gwinnett County, Georgia","976,173","983,526",0.75
".Habersham County, Georgia","47,465","48,757",2.72
".Hall County, Georgia","212,621","217,267",2.19
".Hancock County, Georgia","8,417","8,676",3.08
".Haralson County, Georgia","31,355","32,038",2.18
".Harris County, Georgia","36,257","36,654",1.09
".Hart County, Georgia","26,886","27,556",2.49
".Heard County, Georgia","11,716","12,034",2.71
".Henry County, Georgia","248,472","254,613",2.47
".Houston County, Georgia","169,775","171,974",1.30
".Irwin County, Georgia","9,114","9,120",0.07
".Jackson County, Georgia","84,009","88,615",5.48
".Jasper County, Georgia","15,979","16,455",2.98
".Jeff Davis County, Georgia","14,891","14,906",0.10
".Jefferson County, Georgia","15,294","15,183",-0.73
".Jenkins County, Georgia","8,655","8,627",-0.32
".Johnson County, Georgia","9,211","9,282",0.77
".Jones County, Georgia","28,512","28,969",1.60
".Lamar County, Georgia","19,473","20,401",4.77
".Lanier County, Georgia","10,177","10,452",2.70
".Laurens County, Georgia","49,710","49,941",0.46
".Lee County, Georgia","33,678","33,872",0.58
".Liberty County, Georgia","67,919","69,210",1.90
".Lincoln County, Georgia","7,859","7,879",0.25
".Long County, Georgia","18,395","19,594",6.52
".Lowndes County, Georgia","119,499","120,712",1.02
".Lumpkin County, Georgia","34,706","35,258",1.59
".McDuffie County, Georgia","21,690","21,799",0.50
".McIntosh County, Georgia","11,183","11,501",2.84
".Macon County, Georgia","11,777","11,817",0.34
".Madison County, Georgia","31,450","32,191",2.36
".Marion County, Georgia","7,436","7,440",0.05
".Meriwether County, Georgia","20,890","20,931",0.20
".Miller County, Georgia","5,774","5,747",-0.47
".Mitchell County, Georgia","21,192","21,114",-0.37
".Monroe County, Georgia","29,469","30,625",3.92
".Montgomery County, Georgia","8,643","8,761",1.37
".Morgan County, Georgia","21,024","21,460",2.07
".Murray County, Georgia","40,410","41,035",1.55
".Muscogee County, Georgia","202,432","201,877",-0.27
".Newton County, Georgia","117,752","120,135",2.02
".Oconee County, Georgia","43,624","44,182",1.28
".Oglethorpe County, Georgia","15,531","15,754",1.44
".Paulding County, Georgia","178,753","183,164",2.47
".Peach County, Georgia","28,486","28,805",1.12
".Pickens County, Georgia","34,825","35,969",3.28
".Pierce County, Georgia","20,190","20,425",1.16
".Pike County, Georgia","19,955","20,461",2.54
".Polk County, Georgia","43,669","44,223",1.27
".Pulaski County, Georgia","9,963","10,095",1.32
".Putnam County, Georgia","22,933","23,129",0.85
".Quitman County, Georgia","2,259","2,280",0.93
".Rabun County, Georgia","17,267","17,442",1.01
".Randolph County, Georgia","6,126","6,078",-0.78
".Richmond County, Georgia","206,344","205,414",-0.45
".Rockdale County, Georgia","94,945","95,987",1.10
".Schley County, Georgia","4,497","4,526",0.64
".Screven County, Georgia","13,970","14,174",1.46
".Seminole County, Georgia","9,144","9,092",-0.57
".Spalding County, Georgia","69,008","69,946",1.36
".Stephens County, Georgia","26,746","27,228",1.80
".Stewart County, Georgia","4,604","4,674",1.52
".Sumter County, Georgia","28,864","28,890",0.09
".Talbot County, Georgia","5,757","5,718",-0.68
".Taliaferro County, Georgia","1,608","1,609",0.06
".Tattnall County, Georgia","23,988","24,296",1.28
".Taylor County, Georgia","7,762","7,758",-0.05
".Telfair County, Georgia","12,378","10,920",-11.78
".Terrell County, Georgia","8,792","8,718",-0.84
".Thomas County, Georgia","45,551","45,649",0.22
".Tift County, Georgia","41,335","41,554",0.53
".Toombs County, Georgia","26,813","27,040",0.85
".Towns County, Georgia","12,961","13,035",0.57
".Treutlen County, Georgia","6,359","6,341",-0.28
".Troup County, Georgia","70,247","70,742",0.70
".Turner County, Georgia","8,836","8,909",0.83
".Twiggs County, Georgia","7,676","7,691",0.20
".Union County, Georgia","26,390","27,124",2.78
".Upson County, Georgia","28,093","28,263",0.61
".Walker County, Georgia","68,965","69,489",0.76
".Walton County, Georgia","103,064","106,702",3.53
".Ware County, Georgia","35,597","36,243",1.81
".Warren County, Georgia","5,157","5,106",-0.99
".Washington County, Georgia","19,765","19,820",0.28
".Wayne County, Georgia","30,737","31,373",2.07
".Webster County, Georgia","2,337","2,337",0.00
".Wheeler County, Georgia","7,310","7,081",-3.13
".White County, Georgia","28,804","29,026",0.77
".Whitfield County, Georgia","103,095","103,687",0.57
".Wilcox County, Georgia","8,751","8,779",0.32
".Wilkes County, Georgia","9,565","9,518",-0.49
".Wilkinson County, Georgia","8,677","8,725",0.55
".Worth County, Georgia","20,431","20,273",-0.77
".Hawaii County, Hawaii","206,348","207,615",0.61
".Honolulu County, Hawaii","994,828","989,408",-0.54
".Kalawao County, Hawaii",81,81,0.00
".Kauai County, Hawaii","73,783","73,851",0.09
".Maui County, Hawaii","164,359","164,183",-0.11
".Ada County, Idaho","519,004","524,673",1.09
".Adams County, Idaho","4,791","4,903",2.34
".Bannock County, Idaho","89,625","90,400",0.86
".Bear Lake County, Idaho","6,730","6,766",0.53
".Benewah County, Idaho","10,291","10,369",0.76
".Bingham County, Idaho","49,973","50,395",0.84
