,state_abv,county,housing_yearly,food_yearly,transportation_yearly,healthcare_yearly,misc_yearly,childcare_yearly,taxes_yearly,median_family_income,pct_diff,pct_diff_binary
217,CA,Placer County,27850.8,13017.6,18111.6,15930.0,14469.6,19845.6,23556.0,131178.0,1.31,0
218,CA,Plumas County,13364.4,12180.0,20602.8,18739.2,9045.6,14148.0,14932.8,86990.0,-1.6,1
219,CA,Riverside County,24045.6,10502.4,18163.2,12583.2,12231.6,16927.2,17509.2,95246.0,0.74,0
220,CA,Sacramento County,23032.8,11368.8,16606.8,15930.0,12180.0,17728.8,18540.0,97966.0,-0.01,1
221,CA,San Benito County,28740.0,13422.0,21002.4,15002.4,14928.0,16800.0,23835.6,112958.0,0.79,0
222,CA,San Bernardino County,22104.0,10154.4,17782.8,12583.2,11421.6,16279.2,15850.8,85528.0,0.03,0
223,CA,San Diego County,31573.2,11425.2,17871.6,13778.4,15222.0,20395.2,24010.8,111734.0,-0.22,1
224,CA,San Francisco County,36811.2,14871.6,12613.2,17010.0,18298.8,27566.4,31497.6,159981.0,0.15,0
225,CA,San Joaquin County,20220.0,11337.6,17443.2,14547.6,11172.0,16783.2,16440.0,91565.0,0.84,0
226,CA,San Luis Obispo County,27013.2,12438.0,19146.0,17055.6,13969.2,18722.4,23209.2,114196.0,-0.14,1
227,CA,San Mateo County,44918.4,13422.0,19687.2,17314.8,20655.6,26136.0,38126.4,175776.0,-0.35,1
228,CA,Santa Barbara County,34965.6,11252.4,18888.0,17055.6,16365.6,21127.2,27968.4,105067.0,-0.6,1
229,CA,Santa Clara County,37800.0,12728.4,18278.4,13822.8,17889.6,25106.4,30716.4,174855.0,-0.04,1
230,CA,Santa Cruz County,41032.8,13654.8,18998.4,16278.0,19363.2,21472.8,33028.8,127331.0,-1.02,1
231,CA,Shasta County,17856.0,11487.6,17552.4,18873.6,10388.4,14556.0,16027.2,85284.0,-0.32,1
232,CA,Sierra County,14529.6,14929.2,21393.6,18739.2,10430.4,14148.0,17365.2,73917.0,-0.68,1
